date,location,demand,net_generation,interchange
2024-09-12,Pacific,809691,662985,-146844
2024-09-13,Pacific,804413,644719,-154732
2024-09-14,Pacific,757950,607689,-145076
2024-09-15,Pacific,706611,626470,-76498
2024-09-16,Pacific,735334,629690,-112856
2024-09-17,Pacific,736885,608425,-136719
2024-09-18,Pacific,739375,592693,-149338
2024-09-19,Pacific,745366,597179,-145088
2024-09-20,Pacific,741936,592588,-138214
2024-09-21,Pacific,709622,606088,-95797
2024-09-22,Pacific,721046,619601,-92029
2024-09-23,Pacific,827182,696806,-115846
2024-09-24,Pacific,848836,721221,-116505
2024-09-25,Pacific,798761,658456,-129132
2024-09-26,Pacific,773382,656518,-106127
2024-09-27,Pacific,787909,670697,-110101
2024-09-28,Pacific,727445,643867,-71994
2024-09-29,Pacific,697355,607359,-81043
2024-09-30,Pacific,802597,678178,-116198
2024-10-01,Pacific,883666,741998,-137060
2024-10-02,Pacific,926906,758474,-156907
2024-10-03,Pacific,916652,778516,-128161
2024-10-04,Pacific,893904,713514,-169556
2024-10-05,Pacific,846471,691052,-144269
2024-10-06,Pacific,838486,722586,-107702
2024-10-07,Pacific,910570,812679,-90135
2024-10-08,Pacific,874424,796384,-73661
2024-10-09,Pacific,826285,719475,-99541
2024-10-10,Pacific,800514,732042,-58772
2024-10-11,Pacific,776612,687507,-76778
2024-10-12,Pacific,702944,615168,-60838
2024-10-13,Pacific,674863,589959,-77239
2024-10-14,Pacific,744739,624612,-112927
2024-10-15,Pacific,760341,624698,-130404
2024-10-16,Pacific,759328,599678,-161305
2024-10-17,Pacific,734987,604598,-139177
2024-10-18,Pacific,697917,580204,-130777
2024-10-19,Pacific,658835,526781,-140233
2024-10-20,Pacific,643367,535963,-109035
2024-10-21,Pacific,706064,570156,-140178
2024-10-22,Pacific,722314,624294,-100287
2024-10-23,Pacific,730808,632898,-104953
2024-10-24,Pacific,718971,611949,-117299
2024-10-25,Pacific,703923,612858,-94573
2024-10-26,Pacific,671314,569351,-100461
2024-10-27,Pacific,664553,522085,-144555
2024-10-28,Pacific,710541,573733,-144812
2024-10-29,Pacific,691733,573964,-122460
2024-10-30,Pacific,702238,596369,-106481
2024-10-31,Pacific,699197,578738,-116522
2024-11-01,Pacific,690208,581740,-5443
2024-11-02,Pacific,673737,91508,-3044
2024-11-03,Pacific,632777,524363,-121489
2024-11-04,Pacific,673883,528114,-145969
2024-11-05,Pacific,696157,562915,-137051
2024-11-06,Pacific,666318,569334,-107020
2024-11-07,Pacific,677916,582359,-99704
2024-11-08,Pacific,684568,580387,-107910
2024-11-09,Pacific,651497,539813,-119999
2024-11-10,Pacific,630460,528101,-105335
2024-11-11,Pacific,702731,566835,-142056
2024-11-12,Pacific,699802,554261,-152582
2024-11-13,Pacific,713044,563268,-144987
2024-11-14,Pacific,701088,557810,-135082
2024-11-15,Pacific,707123,560536,-147392
2024-11-16,Pacific,653587,504332,-144442
2024-11-17,Pacific,620963,455639,-155062
2024-11-18,Pacific,715728,544277,-171851
2024-11-19,Pacific,731134,575143,-161199
2024-11-20,Pacific,741081,587851,-150462
2024-11-21,Pacific,728629,582460,-138974
2024-11-22,Pacific,723862,572803,-160590
2024-11-23,Pacific,672422,519873,-156672
2024-11-24,Pacific,649794,522111,-128534
2024-11-25,Pacific,723740,576837,-138621
2024-11-26,Pacific,725731,563411,-166766
2024-11-27,Pacific,703336,559987,-146081
2024-11-28,Pacific,649882,543199,-102132
2024-11-29,Pacific,664862,519878,-143309
2024-11-30,Pacific,665358,509773,-156868
2024-12-01,Pacific,651802,532086,-116201
2024-12-02,Pacific,703747,586154,-115909
2024-12-03,Pacific,714020,577101,-138102
2024-12-04,Pacific,714794,597495,-121255
2024-12-05,Pacific,719551,610697,-109746
2024-12-06,Pacific,715917,584350,-130047
2024-12-07,Pacific,683127,525504,-156078
2024-12-08,Pacific,666329,483050,-187537
2024-12-09,Pacific,730943,572583,-165436
2024-12-10,Pacific,743553,619604,-126742
2024-12-11,Pacific,756456,617448,-147939
2024-12-12,Pacific,767223,640413,-140175
2024-12-13,Pacific,758264,606652,-162444
2024-12-14,Pacific,700123,527379,-178996
2024-12-15,Pacific,690536,522037,-176393
2024-12-16,Pacific,765283,608401,-157509
2024-12-17,Pacific,755372,591053,-180158
2024-12-18,Pacific,756277,538966,-216618
2024-12-19,Pacific,735720,540214,-197312
2024-12-20,Pacific,724691,532749,-207769
2024-12-21,Pacific,684956,476608,-198206
2024-12-22,Pacific,657380,474943,-183341
2024-12-23,Pacific,702320,507561,-190641
2024-12-24,Pacific,678511,497667,-165390
2024-12-25,Pacific,648814,485448,-161982
2024-12-26,Pacific,704036,492822,-208539
2024-12-27,Pacific,706906,522305,-191580
2024-12-28,Pacific,668821,469546,-196208
2024-12-29,Pacific,666432,499118,-173297
2024-12-30,Pacific,693573,517801,-178514
2024-12-31,Pacific,685740,529068,-152842
2025-01-01,Pacific,653016,486388,-166017
2025-01-02,Pacific,699255,528031,-175094
2025-01-03,Pacific,712264,521119,-192026
2025-01-04,Pacific,678491,518048,-170824
2025-01-05,Pacific,657167,498888,-160190
2025-01-06,Pacific,701823,543616,-148976
2025-01-07,Pacific,702038,560866,-139824
2025-01-08,Pacific,679125,536334,-140909
2025-01-09,Pacific,689719,560287,-140051
2025-01-10,Pacific,686152,528477,-165212
2025-01-11,Pacific,656128,477890,-181868
2025-01-12,Pacific,634321,535309,-97875
2025-01-13,Pacific,703212,597433,-105749
2025-01-14,Pacific,721176,619016,-103293
2025-01-15,Pacific,710567,605966,-107435
2025-01-16,Pacific,710766,570229,-140919
2025-01-17,Pacific,720721,604317,-123638
2025-01-18,Pacific,661310,570182,-97798
2025-01-19,Pacific,659612,582479,-74398
2025-01-20,Pacific,669835,582486,-87302
2025-01-21,Pacific,695907,596531,-100266
2025-01-22,Pacific,697171,601243,-98656
2025-01-23,Pacific,700526,615160,-87901
2025-01-24,Pacific,703851,605669,-110784
2025-01-25,Pacific,659689,532552,-132070
2025-01-26,Pacific,659824,546270,-107746
2025-01-27,Pacific,714948,614808,-100088
2025-01-28,Pacific,721858,649595,-70582
2025-01-29,Pacific,722552,659902,-69114
2025-01-30,Pacific,741389,638910,-121422
2025-01-31,Pacific,752254,599649,-158426
2025-02-01,Pacific,676802,545219,-122422
2025-02-02,Pacific,645913,571483,-69639
2025-02-03,Pacific,689738,626055,-59488
2025-02-04,Pacific,726297,683669,-39732
2025-02-05,Pacific,714466,643480,-77372
2025-02-06,Pacific,749644,672647,-79440
2025-02-07,Pacific,707433,621452,-87372
2025-02-08,Pacific,650771,558806,-81811
2025-02-09,Pacific,629418,555465,-60248
2025-02-10,Pacific,695947,633964,-57412
2025-02-11,Pacific,727691,680728,-35061
2025-02-12,Pacific,756895,665738,-76914
2025-02-13,Pacific,753954,648268,-88369
2025-02-14,Pacific,703829,612170,-85826
2025-02-15,Pacific,647742,570009,-71527
2025-02-16,Pacific,626934,548860,-66823
2025-02-17,Pacific,665211,594883,-63300
2025-02-18,Pacific,674214,595990,-60329
2025-02-19,Pacific,679799,616286,-47798
2025-02-20,Pacific,672642,587780,-74130
2025-02-21,Pacific,663151,583873,-71119
2025-02-22,Pacific,614707,485522,-118455
2025-02-23,Pacific,611749,445987,-159217
2025-02-24,Pacific,676250,507299,-162567
2025-02-25,Pacific,671544,508677,-150353
2025-02-26,Pacific,656601,548257,-120202
2025-02-27,Pacific,674936,526819,-136771
2025-02-28,Pacific,651521,514926,-121524
2025-03-01,Pacific,613448,529604,-74359
2025-03-02,Pacific,620785,522967,-99467
2025-03-03,Pacific,667762,560405,-111511
2025-03-04,Pacific,686346,552002,-125574
2025-03-05,Pacific,711675,545525,-149654
2025-03-06,Pacific,713302,599923,-115908
2025-03-07,Pacific,674550,589930,-86893
2025-03-08,Pacific,611044,577603,-18866
2025-03-09,Pacific,569209,453559,-105150
2025-03-10,Pacific,661204,497641,-155555
2025-03-11,Pacific,673485,516802,-151413
2025-03-12,Pacific,702794,563066,-139391
2025-03-13,Pacific,701726,532571,-169724
2025-03-14,Pacific,736533,584342,-145989
2025-03-15,Pacific,638091,506622,-128730
2025-03-16,Pacific,619061,488627,-132158
2025-03-17,Pacific,683748,532951,-152742
2025-03-18,Pacific,663112,526423,-132327
2025-03-19,Pacific,673391,543665,-127477
2025-03-20,Pacific,657044,524907,-123687
2025-03-21,Pacific,652373,517021,-135939
2025-03-22,Pacific,607646,485216,-120837
2025-03-23,Pacific,581531,471998,-109261
2025-03-24,Pacific,665085,526922,-142647
2025-03-25,Pacific,671124,560625,-110825
2025-03-26,Pacific,684500,563782,-118150
2025-03-27,Pacific,661448,543823,-121098
2025-03-28,Pacific,663891,542081,-125667
2025-03-29,Pacific,601546,511328,-91138
2025-03-30,Pacific,617681,518245,-100708
2025-03-31,Pacific,682608,547164,-141153
2025-04-01,Pacific,688938,538861,-149592
2025-04-02,Pacific,671925,557150,-117066
2025-04-03,Pacific,663066,568438,-100642
2025-04-04,Pacific,663218,578739,-89421
2025-04-05,Pacific,610448,523899,-90646
2025-04-06,Pacific,602299,515980,-82217
2025-04-07,Pacific,668757,574396,-97534
2025-04-08,Pacific,674062,573613,-110136
2025-04-09,Pacific,695014,594866,-106065
2025-04-10,Pacific,696806,588300,-108218
2025-04-11,Pacific,716588,600006,-118572
2025-04-12,Pacific,645064,539496,-110280
2025-04-13,Pacific,618803,532254,-90227
2025-04-14,Pacific,679463,586574,-96791
2025-04-15,Pacific,699868,593231,-114258
2025-04-16,Pacific,696787,584875,-122612
2025-04-17,Pacific,701123,584177,-129028
2025-04-18,Pacific,677544,596311,-91785
2025-04-19,Pacific,612502,497553,-114362
2025-04-20,Pacific,591496,480990,-108289
2025-04-21,Pacific,666126,564696,-102557
2025-04-22,Pacific,670049,611085,-64284
2025-04-23,Pacific,683090,645501,-50260
2025-04-24,Pacific,681159,637901,-56770
2025-04-25,Pacific,685200,614956,-103843
2025-04-26,Pacific,641997,522524,-127367
2025-04-27,Pacific,629915,503565,-134341
2025-04-28,Pacific,661427,558388,-107664
2025-04-29,Pacific,677284,544226,-119762
2025-04-30,Pacific,691326,604188,-93717
2025-05-01,Pacific,692802,630004,-71354
2025-05-02,Pacific,692880,637617,-63814
2025-05-03,Pacific,648344,564996,-87913
2025-05-04,Pacific,616223,545847,-73564
2025-05-05,Pacific,691774,592592,-98170
2025-05-06,Pacific,702444,645101,-56690
2025-05-07,Pacific,690708,615204,-75778
2025-05-08,Pacific,716418,647203,-66933
2025-05-09,Pacific,785528,725009,-62744
2025-05-10,Pacific,773219,695428,-84152
2025-05-11,Pacific,701887,644586,-57227
2025-05-12,Pacific,712517,635269,-84054
2025-05-13,Pacific,693553,599914,-106531
2025-05-14,Pacific,694263,571211,-122154
2025-05-15,Pacific,714252,578770,-133559
2025-05-16,Pacific,723530,633336,-94432
2025-05-17,Pacific,658402,596817,-74055
2025-05-18,Pacific,627690,519517,-105429
2025-05-19,Pacific,730735,617476,-123135
2025-05-20,Pacific,782227,654644,-134628
2025-05-21,Pacific,795224,703498,-95110
2025-05-22,Pacific,776356,739244,-49338
2025-05-23,Pacific,732874,690967,-53541
2025-05-24,Pacific,672646,643075,-34751
2025-05-25,Pacific,640189,604963,-37667
2025-05-26,Pacific,662370,610456,-54704
2025-05-27,Pacific,725144,675473,-51467
2025-05-28,Pacific,748844,688925,-61141
2025-05-29,Pacific,768665,666081,-106168
2025-05-30,Pacific,857507,753928,-110320
2025-05-31,Pacific,853080,719914,-133912
2025-06-01,Pacific,771954,632011,-135700
2025-06-02,Pacific,786598,665135,-126559
2025-06-03,Pacific,783218,645575,-141703
2025-06-04,Pacific,795567,676611,-121507
2025-06-05,Pacific,788987,698860,-90451
2025-06-06,Pacific,788564,674041,-114395
2025-06-07,Pacific,737037,657714,-91281
2025-06-08,Pacific,719293,691245,-31302
2025-06-09,Pacific,794560,770807,-28445
2025-06-10,Pacific,806994,745186,-65663
2025-06-11,Pacific,798441,725328,-82624
2025-06-12,Pacific,790288,723501,-80399
2025-06-13,Pacific,782960,688025,-104852
2025-06-14,Pacific,743378,651321,-101345
2025-06-15,Pacific,754858,682609,-77151
2025-06-16,Pacific,836824,731103,-111136
2025-06-17,Pacific,866319,729027,-138241
2025-06-18,Pacific,888932,764919,-121246
2025-06-19,Pacific,822205,752431,-80133
2025-06-20,Pacific,769597,677886,-99317
2025-06-21,Pacific,692307,605959,-91669
2025-06-22,Pacific,683189,573548,-111469
2025-06-23,Pacific,774314,669305,-110395
2025-06-24,Pacific,776099,698051,-79410
2025-06-25,Pacific,801183,680400,-118122
2025-06-26,Pacific,824627,690682,-132283
2025-06-27,Pacific,856105,705415,-149477
2025-06-28,Pacific,838702,713817,-126774
2025-06-29,Pacific,818218,748923,-71667
2025-06-30,Pacific,874740,809253,-48490
2025-07-01,Pacific,862004,791942,-66801
2025-07-02,Pacific,858528,719422,-136734
2025-07-03,Pacific,836571,714257,-113293
2025-07-04,Pacific,771514,689789,-91185
2025-07-05,Pacific,761462,670095,-100943
2025-07-06,Pacific,766261,678967,-73475
2025-07-07,Pacific,841524,780861,-48585
2025-07-08,Pacific,863479,817816,-46028
2025-07-09,Pacific,891921,817757,-76667
2025-07-10,Pacific,938121,835449,-111847
2025-07-11,Pacific,923620,846186,-77235
2025-07-12,Pacific,838971,771021,-66505
2025-07-13,Pacific,801492,771206,-26570
2025-07-14,Pacific,892153,804431,-81512
2025-07-15,Pacific,876500,804722,-71988
2025-07-16,Pacific,845437,787755,-54000
2025-07-17,Pacific,855414,741980,-106089
2025-07-18,Pacific,860827,737476,-119557
2025-07-19,Pacific,815818,693216,-121433
2025-07-20,Pacific,780975,680890,-95353
2025-07-21,Pacific,816461,729379,-91000
2025-07-22,Pacific,813903,720475,-97928
2025-07-23,Pacific,815811,729974,-90035
2025-07-24,Pacific,826273,707953,-110831
2025-07-25,Pacific,804296,687748,-109722
2025-07-26,Pacific,741639,663365,-79056
2025-07-27,Pacific,714957,662208,-76410
2025-07-28,Pacific,827017,756182,-67218
2025-07-29,Pacific,863349,815387,-48560
2025-07-30,Pacific,866156,800823,-65390
2025-07-31,Pacific,852896,763336,-102808
2025-08-01,Pacific,869814,770890,-96887
2025-08-02,Pacific,817984,727791,-90091
2025-08-03,Pacific,793113,718461,-72367
2025-08-04,Pacific,858837,736737,-115783
2025-08-05,Pacific,850629,745650,-98648
2025-08-06,Pacific,943570,837006,-107367
2025-08-07,Pacific,991741,853421,-138628
2025-08-08,Pacific,992543,837253,-153097
2025-08-09,Pacific,921808,779465,-140836
2025-08-10,Pacific,884545,790126,-94333
2025-08-11,Pacific,946960,873297,-68238
2025-08-12,Pacific,927400,889639,-36921
2025-08-13,Pacific,912477,809888,-106137
2025-08-14,Pacific,892810,788597,-108322
2025-08-15,Pacific,877372,759357,-118909
2025-08-16,Pacific,811454,690671,-116520
2025-08-17,Pacific,782363,664443,-120378
2025-08-18,Pacific,852164,740267,-102263
2025-08-19,Pacific,900304,791161,-96506
2025-08-20,Pacific,955651,846861,-86868
2025-08-21,Pacific,1025256,925549,-76486
2025-08-22,Pacific,1039154,943452,-70120
2025-08-23,Pacific,954270,874419,-68368
2025-08-24,Pacific,928450,851637,-62868
2025-08-25,Pacific,983608,874781,-100271
2025-08-26,Pacific,951821,845584,-92674
2025-08-27,Pacific,947169,817572,-108832
2025-08-28,Pacific,910655,770379,-115661
2025-08-29,Pacific,928181,807787,-106020
2025-08-30,Pacific,910342,761760,-134984
2025-08-31,Pacific,921219,759538,-146040
